video_id,duration,category
vIZBTk-bhYY,572.24,LT-Lifestyle-Travel-Guides
f44gpGR4uWU,552.53,LT-Lifestyle-Travel-Guides
blTVOmlfZ6E,472.17,LT-Lifestyle-Travel-Guides
2dZ1WTctDU4,497.5,LT-Lifestyle-Travel-Guides
c3_-fShe8Ks,507.98,LT-Lifestyle-Travel-Guides
Jg_KbHUS8zs,580.65,LT-Lifestyle-Travel-Guides
mlY2bkKJrOU,545.85,LT-Lifestyle-Travel-Guides
AKGkbdILcjU,556.82,LT-Lifestyle-Travel-Guides
elOwHlrQwuU,490.22,LT-Lifestyle-Travel-Guides
-zSz3Ck3X0w,465.2,LT-Lifestyle-Travel-Guides
6RLNX8MTXns,530.79,LT-Lifestyle-Travel-Guides
FZb2uCgosdc,503.55,LT-Lifestyle-Travel-Guides
2zW4k1QrM3I,570.93,LT-Lifestyle-Travel-Guides
kcEnWFPFBzM,559.64,LT-Lifestyle-Travel-Guides
1cAK01jmTvo,568.69,LT-Lifestyle-Travel-Guides
NlPbdl5ahwg,557.17,LT-Lifestyle-Travel-Guides
cakVNqU0xOA,553.49,LT-Lifestyle-Travel-Guides
MKRTALmZRhU,499.03,LT-Lifestyle-Travel-Guides
VZ0Lb-E6bXo,521.26,LT-Lifestyle-Travel-Guides
6dEvFjEUYHQ,567.28,LT-Lifestyle-Travel-Guides
ZaZIkctuUvs,481.76,LT-Lifestyle-Travel-Guides
ECfZQA2hDEY,522.49,LT-Lifestyle-Travel-Guides
MxBfxLrcUtQ,573.2,LT-Lifestyle-Travel-Guides
pi-4mBmahts,582.57,LT-Lifestyle-Travel-Guides
J54lSwAmxzQ,567.03,LT-Lifestyle-Travel-Guides
cN69OEJdcrw,544.45,LT-Lifestyle-Travel-Guides
NlejS6SCpHg,490.36,LT-Lifestyle-Travel-Guides
iMqk4weSqh8,497.77,LT-Lifestyle-Travel-Guides
oYe-QM8ZimI,592.13,LT-Lifestyle-Travel-Guides
_V0hvU4d7-o,516.85,LT-Lifestyle-Travel-Guides
bkgi83TAe3Q,571.7,LT-Lifestyle-Travel-Guides
1pRIUWwvtjc,480.88,LT-Lifestyle-Travel-Guides
